date,stock_id,buy,name,sell
2021-01-22,4958,4599195,Foreign_Investor,2783943
2021-01-22,4958,0,Foreign_Dealer_Self,0
2021-01-22,4958,227000,Investment_Trust,283000
2021-01-22,4958,25000,Dealer_self,78000
2021-01-22,4958,18000,Dealer_Hedging,15000
2021-01-25,4958,6593834,Foreign_Investor,2740061
2021-01-25,4958,0,Foreign_Dealer_Self,0
2021-01-25,4958,286000,Investment_Trust,0
2021-01-25,4958,382000,Dealer_self,158000
2021-01-25,4958,145999,Dealer_Hedging,56000
2021-01-26,4958,3791420,Foreign_Investor,3689505
2021-01-26,4958,0,Foreign_Dealer_Self,0
2021-01-26,4958,33000,Investment_Trust,333000
2021-01-26,4958,372000,Dealer_self,544000
2021-01-26,4958,83000,Dealer_Hedging,41000
2021-01-27,4958,2270192,Foreign_Investor,2033710
2021-01-27,4958,0,Foreign_Dealer_Self,0
2021-01-27,4958,439000,Investment_Trust,0
2021-01-27,4958,287000,Dealer_self,5000
2021-01-27,4958,82000,Dealer_Hedging,10000
2021-01-28,4958,1624120,Foreign_Investor,4500787
2021-01-28,4958,0,Foreign_Dealer_Self,0
2021-01-28,4958,95000,Investment_Trust,64000
2021-01-28,4958,80000,Dealer_self,43000
2021-01-28,4958,42000,Dealer_Hedging,97350
2021-01-29,4958,2667345,Foreign_Investor,5240500
2021-01-29,4958,0,Foreign_Dealer_Self,0
2021-01-29,4958,16000,Investment_Trust,0
2021-01-29,4958,91000,Dealer_self,351571
2021-01-29,4958,24000,Dealer_Hedging,33000
2021-02-01,4958,862066,Foreign_Investor,2226338
2021-02-01,4958,0,Foreign_Dealer_Self,0
2021-02-01,4958,43000,Investment_Trust,1000
2021-02-01,4958,61000,Dealer_self,80000
2021-02-01,4958,35000,Dealer_Hedging,16000
2021-02-02,4958,1653308,Foreign_Investor,4024845
2021-02-02,4958,0,Foreign_Dealer_Self,0
2021-02-02,4958,104000,Investment_Trust,120000
2021-02-02,4958,184000,Dealer_self,48000
2021-02-02,4958,36000,Dealer_Hedging,37000
2021-02-03,4958,963160,Foreign_Investor,3578201
2021-02-03,4958,0,Foreign_Dealer_Self,0
2021-02-03,4958,5000,Investment_Trust,155000
2021-02-03,4958,10000,Dealer_self,58393
2021-02-03,4958,36000,Dealer_Hedging,63199
2021-02-04,4958,1567416,Foreign_Investor,2494929
2021-02-04,4958,0,Foreign_Dealer_Self,0
2021-02-04,4958,52000,Investment_Trust,1000
2021-02-04,4958,50000,Dealer_self,108000
2021-02-04,4958,63000,Dealer_Hedging,45000
2021-02-05,4958,905300,Foreign_Investor,1757905
2021-02-05,4958,0,Foreign_Dealer_Self,0
2021-02-05,4958,11000,Investment_Trust,0
2021-02-05,4958,43000,Dealer_self,7000
2021-02-05,4958,25000,Dealer_Hedging,63000
2021-02-17,4958,2866000,Foreign_Investor,3195295
2021-02-17,4958,0,Foreign_Dealer_Self,0
2021-02-17,4958,0,Investment_Trust,566000
2021-02-17,4958,51000,Dealer_self,100182
2021-02-17,4958,11400,Dealer_Hedging,28000
2021-02-18,4958,2200899,Foreign_Investor,1749746
2021-02-18,4958,0,Foreign_Dealer_Self,0
2021-02-18,4958,0,Investment_Trust,529000
2021-02-18,4958,49038,Dealer_self,3000
2021-02-18,4958,46844,Dealer_Hedging,20000
2021-02-19,4958,3680080,Foreign_Investor,3269705
2021-02-19,4958,0,Foreign_Dealer_Self,0
2021-02-19,4958,3000,Investment_Trust,2000
2021-02-19,4958,43000,Dealer_self,14000
2021-02-19,4958,80960,Dealer_Hedging,40000
2021-02-22,4958,1028000,Foreign_Investor,2192821
2021-02-22,4958,0,Foreign_Dealer_Self,0
2021-02-22,4958,1000,Investment_Trust,2000
2021-02-22,4958,28000,Dealer_self,43000
2021-02-22,4958,21000,Dealer_Hedging,64000
2021-02-23,4958,2898560,Foreign_Investor,1526467
2021-02-23,4958,0,Foreign_Dealer_Self,0
2021-02-23,4958,2000,Investment_Trust,0
2021-02-23,4958,45000,Dealer_self,8463
2021-02-23,4958,31000,Dealer_Hedging,39000
2021-02-24,4958,2984386,Foreign_Investor,1958565
2021-02-24,4958,0,Foreign_Dealer_Self,0
2021-02-24,4958,2000,Investment_Trust,88000
2021-02-24,4958,53601,Dealer_self,165000
2021-02-24,4958,31000,Dealer_Hedging,31999
2021-02-25,4958,5036544,Foreign_Investor,3119610
2021-02-25,4958,0,Foreign_Dealer_Self,0
2021-02-25,4958,3000,Investment_Trust,2000
2021-02-25,4958,116000,Dealer_self,41000
2021-02-25,4958,236000,Dealer_Hedging,56000
2021-02-26,4958,3926000,Foreign_Investor,7430477
2021-02-26,4958,0,Foreign_Dealer_Self,0
2021-02-26,4958,155000,Investment_Trust,0
2021-02-26,4958,19000,Dealer_self,144601
2021-02-26,4958,63000,Dealer_Hedging,81000
2021-03-02,4958,2028848,Foreign_Investor,1260651
2021-03-02,4958,0,Foreign_Dealer_Self,0
2021-03-02,4958,18000,Investment_Trust,0
2021-03-02,4958,2000,Dealer_self,34000
2021-03-02,4958,26000,Dealer_Hedging,48000
2021-03-03,4958,2242565,Foreign_Investor,1937000
2021-03-03,4958,0,Foreign_Dealer_Self,0
2021-03-03,4958,7000,Investment_Trust,3000
2021-03-03,4958,133244,Dealer_self,32000
2021-03-03,4958,162000,Dealer_Hedging,51000
2021-03-04,4958,1486300,Foreign_Investor,2559000
2021-03-04,4958,0,Foreign_Dealer_Self,0
2021-03-04,4958,47000,Investment_Trust,0
2021-03-04,4958,35000,Dealer_self,97894
2021-03-04,4958,23000,Dealer_Hedging,35000
2021-03-05,4958,1123167,Foreign_Investor,1401922
2021-03-05,4958,0,Foreign_Dealer_Self,0
2021-03-05,4958,72000,Investment_Trust,0
2021-03-05,4958,2000,Dealer_self,62000
2021-03-05,4958,33000,Dealer_Hedging,29000
2021-03-08,4958,561380,Foreign_Investor,1233641
2021-03-08,4958,0,Foreign_Dealer_Self,0
2021-03-08,4958,12000,Investment_Trust,0
2021-03-08,4958,0,Dealer_self,51000
2021-03-08,4958,14000,Dealer_Hedging,41350
2021-03-09,4958,1162000,Foreign_Investor,1859445
2021-03-09,4958,0,Foreign_Dealer_Self,0
2021-03-09,4958,94000,Investment_Trust,2000
2021-03-09,4958,32000,Dealer_self,10640
2021-03-09,4958,6000,Dealer_Hedging,34000
2021-03-10,4958,1606200,Foreign_Investor,1523019
2021-03-10,4958,0,Foreign_Dealer_Self,0
2021-03-10,4958,12000,Investment_Trust,0
2021-03-10,4958,0,Dealer_self,38000
2021-03-10,4958,27000,Dealer_Hedging,7000
2021-03-11,4958,1199600,Foreign_Investor,1985777
2021-03-11,4958,0,Foreign_Dealer_Self,0
2021-03-11,4958,2000,Investment_Trust,2000
2021-03-11,4958,30000,Dealer_self,0
2021-03-11,4958,18000,Dealer_Hedging,21500
2021-03-12,4958,3061000,Foreign_Investor,1411816
2021-03-12,4958,0,Foreign_Dealer_Self,0
2021-03-12,4958,9000,Investment_Trust,0
2021-03-12,4958,22000,Dealer_self,0
2021-03-12,4958,8119,Dealer_Hedging,7000
2021-03-15,4958,2074000,Foreign_Investor,1761062
2021-03-15,4958,0,Foreign_Dealer_Self,0
2021-03-15,4958,0,Investment_Trust,0
2021-03-15,4958,37000,Dealer_self,82000
2021-03-15,4958,42000,Dealer_Hedging,18999
2021-03-16,4958,3646509,Foreign_Investor,937052
2021-03-16,4958,0,Foreign_Dealer_Self,0
2021-03-16,4958,2000,Investment_Trust,0
2021-03-16,4958,13078,Dealer_self,84000
2021-03-16,4958,154000,Dealer_Hedging,101000
2021-03-17,4958,6305000,Foreign_Investor,2442625
2021-03-17,4958,0,Foreign_Dealer_Self,0
2021-03-17,4958,391000,Investment_Trust,0
2021-03-17,4958,206000,Dealer_self,56000
2021-03-17,4958,116500,Dealer_Hedging,87000
2021-03-18,4958,7042300,Foreign_Investor,3242396
2021-03-18,4958,0,Foreign_Dealer_Self,0
2021-03-18,4958,110000,Investment_Trust,0
2021-03-18,4958,213000,Dealer_self,151998
2021-03-18,4958,186600,Dealer_Hedging,80999
2021-03-19,4958,3174180,Foreign_Investor,2304255
2021-03-19,4958,0,Foreign_Dealer_Self,0
2021-03-19,4958,202000,Investment_Trust,2000
2021-03-19,4958,86000,Dealer_self,99000
2021-03-19,4958,33000,Dealer_Hedging,66000
2021-03-22,4958,3439000,Foreign_Investor,2496598
2021-03-22,4958,0,Foreign_Dealer_Self,0
2021-03-22,4958,3000,Investment_Trust,0
2021-03-22,4958,6000,Dealer_self,149000
2021-03-22,4958,14000,Dealer_Hedging,34000
2021-03-23,4958,4852000,Foreign_Investor,1322005
2021-03-23,4958,0,Foreign_Dealer_Self,0
2021-03-23,4958,0,Investment_Trust,0
2021-03-23,4958,76000,Dealer_self,117710
2021-03-23,4958,35000,Dealer_Hedging,74132
2021-03-24,4958,1755100,Foreign_Investor,1981060
2021-03-24,4958,0,Foreign_Dealer_Self,0
2021-03-24,4958,2000,Investment_Trust,0
2021-03-24,4958,160000,Dealer_self,54000
2021-03-24,4958,31999,Dealer_Hedging,53099
2021-03-25,4958,2180000,Foreign_Investor,1243475
2021-03-25,4958,0,Foreign_Dealer_Self,0
2021-03-25,4958,3000,Investment_Trust,0
2021-03-25,4958,72000,Dealer_self,159000
2021-03-25,4958,18500,Dealer_Hedging,66000
2021-03-26,4958,1181410,Foreign_Investor,442505
2021-03-26,4958,0,Foreign_Dealer_Self,0
2021-03-26,4958,0,Investment_Trust,0
2021-03-26,4958,1000,Dealer_self,5060
2021-03-26,4958,8000,Dealer_Hedging,42000
2021-03-29,4958,1154200,Foreign_Investor,489282
2021-03-29,4958,0,Foreign_Dealer_Self,0
2021-03-29,4958,0,Investment_Trust,50000
2021-03-29,4958,12000,Dealer_self,48000
2021-03-29,4958,32000,Dealer_Hedging,11000
2021-03-30,4958,1973969,Foreign_Investor,1751104
2021-03-30,4958,0,Foreign_Dealer_Self,0
2021-03-30,4958,0,Investment_Trust,64000
2021-03-30,4958,2000,Dealer_self,0
2021-03-30,4958,70000,Dealer_Hedging,12718
2021-03-31,4958,4392680,Foreign_Investor,9378888
2021-03-31,4958,0,Foreign_Dealer_Self,0
2021-03-31,4958,0,Investment_Trust,109000
2021-03-31,4958,135000,Dealer_self,90940
2021-03-31,4958,136000,Dealer_Hedging,107570
2021-04-01,4958,2022100,Foreign_Investor,8107924
2021-04-01,4958,0,Foreign_Dealer_Self,0
2021-04-01,4958,0,Investment_Trust,111000
2021-04-01,4958,5000,Dealer_self,52000
2021-04-01,4958,15000,Dealer_Hedging,106599
2021-04-06,4958,2123800,Foreign_Investor,5363844
2021-04-06,4958,0,Foreign_Dealer_Self,0
2021-04-06,4958,0,Investment_Trust,500000
2021-04-06,4958,21000,Dealer_self,5000
2021-04-06,4958,21000,Dealer_Hedging,37100
2021-04-07,4958,1320100,Foreign_Investor,8343412
2021-04-07,4958,0,Foreign_Dealer_Self,0
2021-04-07,4958,0,Investment_Trust,210000
2021-04-07,4958,116000,Dealer_self,108000
2021-04-07,4958,33000,Dealer_Hedging,68798
2021-04-08,4958,2271100,Foreign_Investor,11655722
2021-04-08,4958,0,Foreign_Dealer_Self,0
2021-04-08,4958,0,Investment_Trust,202000
2021-04-08,4958,6000,Dealer_self,75031
2021-04-08,4958,86000,Dealer_Hedging,58993
2021-04-09,4958,1756020,Foreign_Investor,6792867
2021-04-09,4958,0,Foreign_Dealer_Self,0
2021-04-09,4958,0,Investment_Trust,300000
2021-04-09,4958,33000,Dealer_self,10969
2021-04-09,4958,46000,Dealer_Hedging,55497
2021-04-12,4958,1338600,Foreign_Investor,2722340
2021-04-12,4958,0,Foreign_Dealer_Self,0
2021-04-12,4958,0,Investment_Trust,6000
2021-04-12,4958,25000,Dealer_self,26412
2021-04-12,4958,82000,Dealer_Hedging,12800
2021-04-13,4958,1796000,Foreign_Investor,3023544
2021-04-13,4958,0,Foreign_Dealer_Self,0
2021-04-13,4958,0,Investment_Trust,1076000
2021-04-13,4958,15000,Dealer_self,3515
2021-04-13,4958,5000,Dealer_Hedging,168864
2021-04-14,4958,4601000,Foreign_Investor,2193660
2021-04-14,4958,0,Foreign_Dealer_Self,0
2021-04-14,4958,0,Investment_Trust,77000
2021-04-14,4958,64000,Dealer_self,81564
2021-04-14,4958,190000,Dealer_Hedging,81996
2021-04-15,4958,1142101,Foreign_Investor,2996473
2021-04-15,4958,0,Foreign_Dealer_Self,0
2021-04-15,4958,0,Investment_Trust,30000
2021-04-15,4958,48000,Dealer_self,19025
2021-04-15,4958,134999,Dealer_Hedging,6200
2021-04-16,4958,1439300,Foreign_Investor,1504919
2021-04-16,4958,0,Foreign_Dealer_Self,0
2021-04-16,4958,1000,Investment_Trust,54000
2021-04-16,4958,8000,Dealer_self,3000
2021-04-16,4958,93000,Dealer_Hedging,13500
2021-04-19,4958,1316180,Foreign_Investor,2574717
2021-04-19,4958,0,Foreign_Dealer_Self,0
2021-04-19,4958,177000,Investment_Trust,386000
2021-04-19,4958,3000,Dealer_self,4000
2021-04-19,4958,24000,Dealer_Hedging,40997
2021-04-20,4958,1816100,Foreign_Investor,4370390
2021-04-20,4958,0,Foreign_Dealer_Self,0
2021-04-20,4958,176000,Investment_Trust,71000
2021-04-20,4958,27000,Dealer_self,10481
2021-04-20,4958,53000,Dealer_Hedging,24998
2021-04-21,4958,3896000,Foreign_Investor,3937522
2021-04-21,4958,0,Foreign_Dealer_Self,0
2021-04-21,4958,85000,Investment_Trust,76000
2021-04-21,4958,15000,Dealer_self,65216
2021-04-21,4958,196000,Dealer_Hedging,54000
2021-04-22,4958,2363000,Foreign_Investor,1770934
2021-04-22,4958,0,Foreign_Dealer_Self,0
2021-04-22,4958,0,Investment_Trust,75000
2021-04-22,4958,13000,Dealer_self,195978
2021-04-22,4958,7000,Dealer_Hedging,109597
2021-04-23,4958,1551000,Foreign_Investor,2872052
2021-04-23,4958,0,Foreign_Dealer_Self,0
2021-04-23,4958,1000,Investment_Trust,2000
2021-04-23,4958,6000,Dealer_self,6718
2021-04-23,4958,26000,Dealer_Hedging,10000
2021-04-26,4958,1598660,Foreign_Investor,1784100
2021-04-26,4958,0,Foreign_Dealer_Self,0
