date,stock_id,buy,name,sell
2021-01-22,2356,3142000,Foreign_Investor,7015411
2021-01-22,2356,0,Foreign_Dealer_Self,0
2021-01-22,2356,1098000,Investment_Trust,0
2021-01-22,2356,29000,Dealer_self,6000
2021-01-22,2356,46000,Dealer_Hedging,484000
2021-01-25,2356,3323000,Foreign_Investor,4618667
2021-01-25,2356,0,Foreign_Dealer_Self,0
2021-01-25,2356,1637000,Investment_Trust,300000
2021-01-25,2356,2000,Dealer_self,0
2021-01-25,2356,0,Dealer_Hedging,758000
2021-01-26,2356,2219426,Foreign_Investor,5913000
2021-01-26,2356,0,Foreign_Dealer_Self,0
2021-01-26,2356,121000,Investment_Trust,0
2021-01-26,2356,200000,Dealer_self,20000
2021-01-26,2356,117000,Dealer_Hedging,147000
2021-01-27,2356,18961000,Foreign_Investor,6132320
2021-01-27,2356,0,Foreign_Dealer_Self,0
2021-01-27,2356,734000,Investment_Trust,0
2021-01-27,2356,8920,Dealer_self,7000
2021-01-27,2356,157000,Dealer_Hedging,1020000
2021-01-28,2356,9076526,Foreign_Investor,6174800
2021-01-28,2356,0,Foreign_Dealer_Self,0
2021-01-28,2356,1337000,Investment_Trust,0
2021-01-28,2356,8143,Dealer_self,18000
2021-01-28,2356,21000,Dealer_Hedging,581000
2021-01-29,2356,4922424,Foreign_Investor,13188700
2021-01-29,2356,0,Foreign_Dealer_Self,0
2021-01-29,2356,482000,Investment_Trust,0
2021-01-29,2356,2000,Dealer_self,13063
2021-01-29,2356,136000,Dealer_Hedging,4000
2021-02-01,2356,2048001,Foreign_Investor,4110000
2021-02-01,2356,0,Foreign_Dealer_Self,0
2021-02-01,2356,224000,Investment_Trust,300000
2021-02-01,2356,59000,Dealer_self,3161
2021-02-01,2356,0,Dealer_Hedging,48000
2021-02-02,2356,1499314,Foreign_Investor,4678000
2021-02-02,2356,0,Foreign_Dealer_Self,0
2021-02-02,2356,49000,Investment_Trust,0
2021-02-02,2356,207000,Dealer_self,7000
2021-02-02,2356,0,Dealer_Hedging,137000
2021-02-03,2356,2611123,Foreign_Investor,4848907
2021-02-03,2356,0,Foreign_Dealer_Self,0
2021-02-03,2356,0,Investment_Trust,0
2021-02-03,2356,142000,Dealer_self,6000
2021-02-03,2356,68000,Dealer_Hedging,28000
2021-02-04,2356,1585921,Foreign_Investor,2553171
2021-02-04,2356,0,Foreign_Dealer_Self,0
2021-02-04,2356,1000,Investment_Trust,320000
2021-02-04,2356,100000,Dealer_self,10000
2021-02-04,2356,10000,Dealer_Hedging,160000
2021-02-05,2356,1662000,Foreign_Investor,6055994
2021-02-05,2356,0,Foreign_Dealer_Self,0
2021-02-05,2356,2000,Investment_Trust,0
2021-02-05,2356,170000,Dealer_self,22000
2021-02-05,2356,2000,Dealer_Hedging,103000
