date,stock_id,buy,name,sell
2021-01-22,0050,1013920,Foreign_Investor,6257280
2021-01-22,0050,0,Foreign_Dealer_Self,0
2021-01-22,0050,500000,Investment_Trust,158000
2021-01-22,0050,460000,Dealer_self,1846158
2021-01-22,0050,1803000,Dealer_Hedging,10742927
2021-01-25,0050,1610855,Foreign_Investor,5299282
2021-01-25,0050,0,Foreign_Dealer_Self,0
2021-01-25,0050,124000,Investment_Trust,0
2021-01-25,0050,463000,Dealer_self,160000
2021-01-25,0050,2997000,Dealer_Hedging,1917172
2021-01-26,0050,907569,Foreign_Investor,5247687
2021-01-26,0050,0,Foreign_Dealer_Self,0
2021-01-26,0050,89000,Investment_Trust,0
2021-01-26,0050,363435,Dealer_self,929000
2021-01-26,0050,1826000,Dealer_Hedging,1845024
2021-01-27,0050,1744521,Foreign_Investor,1507405
2021-01-27,0050,0,Foreign_Dealer_Self,0
2021-01-27,0050,165000,Investment_Trust,1211000
2021-01-27,0050,387369,Dealer_self,531163
2021-01-27,0050,943166,Dealer_Hedging,422648
2021-01-28,0050,1638192,Foreign_Investor,6403144
2021-01-28,0050,0,Foreign_Dealer_Self,0
2021-01-28,0050,80000,Investment_Trust,0
2021-01-28,0050,426910,Dealer_self,604482
2021-01-28,0050,2044000,Dealer_Hedging,1007541
2021-01-29,0050,1130567,Foreign_Investor,6230533
2021-01-29,0050,0,Foreign_Dealer_Self,0
2021-01-29,0050,200000,Investment_Trust,54000
2021-01-29,0050,469292,Dealer_self,265200
2021-01-29,0050,2187002,Dealer_Hedging,2224155
2021-02-01,0050,1107641,Foreign_Investor,2521976
2021-02-01,0050,0,Foreign_Dealer_Self,0
2021-02-01,0050,100000,Investment_Trust,537000
2021-02-01,0050,1024998,Dealer_self,422214
2021-02-01,0050,2307831,Dealer_Hedging,1125000
2021-02-02,0050,1046802,Foreign_Investor,588338
2021-02-02,0050,0,Foreign_Dealer_Self,0
2021-02-02,0050,0,Investment_Trust,0
2021-02-02,0050,1378054,Dealer_self,362959
2021-02-02,0050,1150000,Dealer_Hedging,1557655
2021-02-03,0050,772209,Foreign_Investor,515844
2021-02-03,0050,0,Foreign_Dealer_Self,0
2021-02-03,0050,224000,Investment_Trust,0
2021-02-03,0050,481000,Dealer_self,248950
2021-02-03,0050,1383000,Dealer_Hedging,1720819
2021-02-04,0050,847225,Foreign_Investor,625480
2021-02-04,0050,0,Foreign_Dealer_Self,0
2021-02-04,0050,650000,Investment_Trust,0
2021-02-04,0050,121660,Dealer_self,445784
2021-02-04,0050,1010000,Dealer_Hedging,2141984
2021-02-05,0050,1320061,Foreign_Investor,1078270
2021-02-05,0050,0,Foreign_Dealer_Self,0
2021-02-05,0050,70000,Investment_Trust,0
2021-02-05,0050,2024443,Dealer_self,319367
2021-02-05,0050,1818334,Dealer_Hedging,1089577
2021-02-17,0050,2717659,Foreign_Investor,1689029
2021-02-17,0050,0,Foreign_Dealer_Self,0
2021-02-17,0050,445000,Investment_Trust,0
2021-02-17,0050,2315590,Dealer_self,1567760
2021-02-17,0050,4644404,Dealer_Hedging,2952601
2021-02-18,0050,855998,Foreign_Investor,1115205
2021-02-18,0050,0,Foreign_Dealer_Self,0
2021-02-18,0050,427000,Investment_Trust,0
2021-02-18,0050,1245106,Dealer_self,403387
2021-02-18,0050,1974018,Dealer_Hedging,1547767
2021-02-19,0050,527901,Foreign_Investor,3421692
2021-02-19,0050,0,Foreign_Dealer_Self,0
2021-02-19,0050,36000,Investment_Trust,7000
2021-02-19,0050,361000,Dealer_self,1229672
2021-02-19,0050,891000,Dealer_Hedging,711104
2021-02-22,0050,618842,Foreign_Investor,556958
2021-02-22,0050,0,Foreign_Dealer_Self,0
2021-02-22,0050,50000,Investment_Trust,100000
2021-02-22,0050,752000,Dealer_self,266182
