date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,ma_5,bias_5,ma_10,bias_10,ma_20,bias_20,ma_60,bias_60,ma_120,bias_120,rsi_14,macd,macd_signal,macd_hist,kd_k,kd_d,atr_14,volatility_20,volume_ratio_5
2021-01-06,2412,9003411,981592305,109.0,109.5,108.5,109.5,0.0,4931,,,,,,,,,,,,0.0,0.0,0.0,,,,,
2021-01-07,2412,5445667,594480394,109.0,109.5,109.0,109.0,-0.5,3787,,,,,,,,,,,,-0.039886,-0.007977,-0.031909,,,,,
2021-01-08,2412,11533683,1262573837,109.0,110.0,109.0,110.0,1.0,6194,,,,,,,,,,,,0.009091,-0.004564,0.013654,,,,,
2021-01-11,2412,14095893,1556172671,110.0,111.0,109.5,111.0,1.0,7029,,,,,,,,,,,,0.127132,0.021775,0.105356,,,,,
2021-01-12,2412,9262639,1028189975,111.0,111.5,110.5,111.0,0.0,4352,110.1,0.008174,,,,,,,,,,0.218165,0.061053,0.157111,,,,,0.93863
2021-01-13,2412,10047070,1118733173,111.0,111.5,111.0,111.5,0.5,6251,110.5,0.00905,,,,,,,,,,0.326887,0.11422,0.212667,,,,,0.997031
2021-01-14,2412,6254032,698809455,111.5,112.0,111.5,112.0,0.5,3483,111.1,0.008101,,,,,,,,,,0.448229,0.181022,0.267207,,,,,0.610825
2021-01-15,2412,7883392,879882359,112.0,112.5,111.0,111.0,-1.0,4346,111.3,-0.002695,,,,,,,,,,0.458417,0.236501,0.221916,,,,,0.82908
2021-01-18,2412,5316014,591133245,111.0,111.5,111.0,111.0,0.0,3207,111.3,-0.002695,,,,,,,,,,0.461176,0.281436,0.17974,,,,,0.685705
2021-01-19,2412,5330628,592670262,111.0,111.5,111.0,111.0,0.0,3289,111.3,-0.002695,110.7,0.00271,,,,,,,,0.458081,0.316765,0.141316,,,,,0.76521
2021-01-20,2412,16123429,1766767279,110.5,111.0,109.0,109.0,-2.0,8591,110.8,-0.016245,110.65,-0.014912,,,,,,,,0.290892,0.31159,-0.020698,39.881,,,,1.970718
2021-01-21,2412,10792150,1178412533,109.0,110.0,108.5,108.5,-0.5,4463,110.1,-0.014532,110.6,-0.018987,,,,,,,,0.116703,0.272613,-0.15591,19.0476,,,,1.18737
2021-01-22,2412,8747144,950075254,109.0,109.0,108.5,108.5,0.0,5304,109.6,-0.010036,110.45,-0.017655,,,,,,,,-0.021101,0.21387,-0.234971,0.0,19.6429,,,0.944425
2021-01-25,2412,8309911,906974150,108.5,109.5,108.5,109.0,0.5,3838,109.2,-0.001832,110.25,-0.011338,,,,,,,46.6667,-0.08894,0.153308,-0.242248,4.1667,7.7381,0.964286,,0.842734
2021-01-26,2412,7493306,814218478,109.0,109.5,108.5,108.5,-0.5,4751,108.7,-0.00184,110.0,-0.013636,,,,,,,43.75,-0.180962,0.086454,-0.267416,4.1667,2.7778,0.964286,,0.727987
2021-01-27,2412,8272693,902313095,109.0,109.5,108.5,109.0,0.5,3842,108.7,0.00276,109.75,-0.006834,,,,,,,50.0,-0.211112,0.026941,-0.238053,8.3333,5.5556,1.0,,0.948373
2021-01-28,2412,10511343,1142809502,109.0,109.5,108.0,109.0,0.0,4825,108.8,0.001838,109.45,-0.004111,,,,,,,42.8571,-0.232327,-0.024913,-0.207414,13.6905,8.7302,1.035714,,1.212817
2021-01-29,2412,12488478,1351883452,108.5,109.0,108.0,108.0,-1.0,5532,108.7,-0.00644,109.15,-0.010536,,,,,,,28.5714,-0.326073,-0.085145,-0.240928,13.6905,11.9048,1.0,,1.326424
2021-02-01,2412,10320192,1124171553,108.5,109.5,108.0,109.0,1.0,4642,108.7,0.00276,108.95,0.000459,,,,,,,37.5,-0.316033,-0.131322,-0.184711,20.6349,16.0053,1.035714,,1.051236
2021-02-02,2412,5436724,591152602,108.5,109.0,108.5,109.0,0.0,3063,108.8,0.001838,108.75,0.002299,109.725,-0.006607,,,,,33.3333,-0.304565,-0.165971,-0.138594,27.7778,20.7011,1.035714,,0.578013
2021-02-03,2412,7957893,865353326,108.5,109.0,108.0,109.0,0.0,3070,108.8,0.001838,108.75,0.002299,109.7,-0.006381,,,,,28.5714,-0.29211,-0.191199,-0.100911,50.0,32.8042,1.071429,0.006829,0.851756
2021-02-04,2412,8634837,935219268,108.5,109.0,108.0,108.0,-1.0,4044,108.6,-0.005525,108.7,-0.00644,109.65,-0.015048,,,,,28.5714,-0.358795,-0.224718,-0.134077,38.8889,38.8889,1.035714,0.007058,0.96289
2021-02-05,2412,6938077,751747826,108.5,109.0,108.0,108.5,0.5,3867,108.7,-0.00184,108.7,-0.00184,109.575,-0.009811,,,,,33.3333,-0.367065,-0.253187,-0.113878,33.3333,40.7407,1.071429,0.0068,0.882983
2021-02-17,2412,12888297,1400238066,109.0,109.0,108.0,108.5,0.0,7238,108.6,-0.000921,108.65,-0.001381,109.45,-0.00868,,,,,33.3333,-0.369362,-0.276422,-0.09294,22.2222,31.4815,1.107143,0.006406,1.539606
2021-02-18,2412,9196100,998839485,108.5,109.0,108.0,108.5,0.0,5369,108.5,0.0,108.65,-0.001381,109.325,-0.007546,,,,,45.4545,-0.366953,-0.294529,-0.072424,33.3333,29.6296,1.035714,0.006406,1.008008
2021-02-19,2412,8841583,961836174,108.5,109.0,108.5,109.0,0.5,4007,108.5,0.004608,108.65,0.003221,109.2,-0.001832,,,,,54.5455,-0.320997,-0.299822,-0.021175,44.4444,33.3333,0.964286,0.006411,0.95073
2021-02-22,2412,9460286,1028451456,109.0,109.0,108.5,108.5,-0.5,5717,108.6,-0.000921,108.6,-0.000921,109.025,-0.004815,,,,,50.0,-0.32122,-0.304102,-0.017118,44.4444,40.7407,0.964286,0.006315,0.999516
2021-02-23,2412,11844545,1290281198,108.5,109.5,108.5,109.5,1.0,6371,108.8,0.006434,108.75,0.006897,108.95,0.005048,,,,,53.8462,-0.237962,-0.290874,0.052912,66.6667,51.8519,0.964286,0.006502,1.133866
2021-02-24,2412,9063460,994046614,109.5,110.0,109.5,109.5,0.0,3413,109.0,0.004587,108.8,0.006434,108.875,0.005741,,,,,58.3333,-0.170019,-0.266703,0.096684,69.4444,60.1852,0.928571,0.006502,0.936192
2021-02-25,2412,13557827,1490954562,110.0,110.5,109.5,110.5,1.0,7203,109.4,0.010055,108.95,0.014227,108.85,0.015158,,,,,61.5385,-0.035078,-0.220378,0.1853,91.6667,75.9259,0.928571,0.006861,1.284671
2021-02-26,2412,17815908,1958535032,110.5,111.0,109.0,109.5,-1.0,5738,109.5,0.0,109.0,0.004587,108.875,0.005741,,,,,53.3333,-0.008727,-0.178048,0.16932,75.0,78.7037,0.964286,0.005855,1.44277
2021-03-02,2412,8483179,931651687,110.0,110.5,109.5,109.5,0.0,3346,109.7,-0.001823,109.15,0.003207,108.925,0.005279,,,,,61.5385,0.012017,-0.140035,0.152052,66.6667,77.7778,0.964286,0.005745,0.698033
2021-03-03,2412,13720148,1509816528,110.0,110.5,109.5,109.5,0.0,5524,109.7,-0.001823,109.25,0.002288,108.975,0.004818,,,,,54.5455,0.028133,-0.106401,0.134534,50.0,63.8889,0.928571,0.005745,1.09515
