date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,ma_5,bias_5,ma_10,bias_10,ma_20,bias_20,ma_60,bias_60,ma_120,bias_120,rsi_14,macd,macd_signal,macd_hist,kd_k,kd_d,atr_14,volatility_20,volume_ratio_5
2021-01-06,2002,103147812,2680180499,26.5,26.8,25.2,25.5,-0.5,35750,,,,,,,,,,,,0.0,0.0,0.0,,,,,
2021-01-07,2002,52269322,1334938757,25.7,25.9,25.35,25.7,0.2,14363,,,,,,,,,,,,0.015954,0.003191,0.012764,,,,,
2021-01-08,2002,56491757,1461826289,25.95,26.15,25.5,26.0,0.3,17077,,,,,,,,,,,,0.052204,0.012994,0.039211,,,,,
2021-01-11,2002,29988375,773384743,26.0,26.05,25.6,25.9,-0.1,10362,,,,,,,,,,,,0.072033,0.024801,0.047231,,,,,
2021-01-12,2002,45016298,1140510344,25.75,25.75,25.15,25.3,-0.6,14591,25.68,-0.014798,,,,,,,,,,0.038884,0.027618,0.011266,,,,,0.784492
2021-01-13,2002,41467607,1051919920,25.3,25.55,25.15,25.55,0.25,13719,25.69,-0.00545,,,,,,,,,,0.032412,0.028577,0.003836,,,,,0.920548
2021-01-14,2002,34269792,870144549,25.7,25.75,25.25,25.3,-0.25,12922,25.61,-0.012105,,,,,,,,,,0.00703,0.024267,-0.017238,,,,,0.826839
2021-01-15,2002,47128490,1178323973,25.3,25.4,24.85,24.9,-0.4,14113,25.39,-0.019299,,,,,,,,,,-0.044846,0.010445,-0.055291,,,,,1.190892
2021-01-18,2002,36783128,893033955,24.7,24.7,24.1,24.25,-0.65,14523,25.06,-0.032322,,,,,,,,,,-0.13683,-0.01901,-0.11782,,,,,0.898617
2021-01-19,2002,22801703,555011251,24.35,24.55,24.25,24.3,0.05,7581,24.86,-0.022526,25.27,-0.038385,,,,,,,,-0.203349,-0.055878,-0.147471,,,,,0.624873
2021-01-20,2002,54351457,1284529255,24.15,24.15,23.35,23.45,-0.85,20187,24.44,-0.040507,25.065,-0.064432,,,,,,,,-0.320954,-0.108893,-0.212061,6.2944,,,,1.39124
2021-01-21,2002,25068520,594197034,23.4,23.95,23.4,23.6,0.15,8604,24.1,-0.020747,24.855,-0.050493,,,,,,,,-0.397472,-0.166609,-0.230863,7.5289,,,,0.673402
2021-01-22,2002,29117020,685347016,23.6,23.8,23.2,23.65,0.05,9360,23.85,-0.008386,24.62,-0.039399,,,,,,,,-0.448903,-0.223068,-0.225835,10.1592,7.9942,,,0.86595
2021-01-25,2002,23434064,560065107,23.7,24.2,23.4,23.95,0.3,10319,23.79,0.006726,24.425,-0.019447,,,,,,,31.3253,-0.460151,-0.270484,-0.189667,18.7727,12.1536,0.675,,0.757047
2021-01-26,2002,24037073,569241502,23.9,23.95,23.55,23.7,-0.25,7854,23.67,0.001267,24.265,-0.023285,,,,,,,29.5455,-0.483663,-0.31312,-0.170543,22.2222,17.0514,0.589286,,0.770379
2021-01-27,2002,23514869,556621150,23.9,24.0,23.55,23.55,-0.15,6985,23.69,-0.00591,24.065,-0.0214,,,,,,,25.2874,-0.508537,-0.352204,-0.156334,21.6429,20.8793,0.582143,,0.939306
2021-01-28,2002,36013867,838518475,23.3,23.45,23.15,23.3,-0.25,12747,23.63,-0.013965,23.865,-0.023675,,,,,,,18.6047,-0.542174,-0.390198,-0.151976,15.0648,19.6433,0.564286,,1.322902
2021-01-29,2002,33857935,783825131,23.25,23.55,22.95,22.95,-0.35,9950,23.49,-0.022989,23.67,-0.030418,,,,,,,17.5824,-0.590269,-0.430212,-0.160057,8.5288,15.0788,0.575,,1.201848
2021-02-01,2002,18847727,438251036,23.0,23.4,23.0,23.2,0.25,6161,23.34,-0.005998,23.565,-0.015489,,,,,,,25.0,-0.60128,-0.464426,-0.136855,9.8925,11.162,0.553571,,0.691551
2021-02-02,2002,27411737,647945396,23.2,23.9,23.2,23.8,0.6,8276,23.36,0.018836,23.515,0.01212,24.3925,-0.02429,,,,,30.7692,-0.555192,-0.482579,-0.072613,29.3333,15.9182,0.575,,0.981471
2021-02-03,2002,28250158,666475306,23.8,23.85,23.4,23.65,-0.15,7382,23.38,0.011548,23.535,0.004886,24.3,-0.026749,,,,,31.4607,-0.524722,-0.491008,-0.033715,48.0,29.0753,0.571429,0.015142,0.978317
2021-02-04,2002,24265967,566597299,23.4,23.55,23.2,23.2,-0.45,8038,23.36,-0.006849,23.495,-0.012556,24.175,-0.040331,,,,,31.1111,-0.530767,-0.498959,-0.031808,48.0,41.7778,0.564286,0.01526,0.914775
2021-02-05,2002,14926034,348879288,23.25,23.5,23.2,23.4,0.2,5220,23.45,-0.002132,23.47,-0.002983,24.045,-0.026825,,,,,39.5062,-0.5135,-0.501868,-0.011633,39.619,45.2063,0.528571,0.015099,0.656369
2021-02-17,2002,36095860,862360720,23.5,24.1,23.5,24.0,0.6,13090,23.61,0.016518,23.475,0.022364,23.95,0.002088,,,,,46.7391,-0.446257,-0.490745,0.044489,51.3872,46.3354,0.557143,0.016598,1.378233
2021-02-18,2002,37302157,910537252,24.2,24.55,24.15,24.4,0.4,13642,23.73,0.028234,23.545,0.036313,23.905,0.020707,,,,,61.4458,-0.356579,-0.463912,0.107333,74.9288,55.3117,0.528571,0.016525,1.324273
2021-02-19,2002,33225307,812913353,24.5,24.6,24.3,24.6,0.2,11810,23.92,0.028428,23.65,0.040169,23.8575,0.031122,,,,,61.9048,-0.266301,-0.42439,0.158089,93.9764,73.4308,0.510714,0.016468,1.139294
2021-02-22,2002,31205922,768107991,24.7,24.9,24.45,24.45,-0.15,11350,24.17,0.011585,23.765,0.028824,23.815,0.026664,,,,,59.3023,-0.204501,-0.380412,0.175911,88.9803,85.9618,0.5,0.016394,1.021435
2021-02-23,2002,75716445,1907276616,24.8,25.45,24.8,25.3,0.85,24725,24.55,0.03055,24.0,0.054167,23.835,0.061464,,,,,63.9175,-0.085945,-0.321519,0.235573,89.883,90.9466,0.514286,0.017913,1.772839
2021-02-24,2002,50843982,1282345297,25.55,25.7,24.85,25.05,-0.25,15984,24.76,0.011712,24.185,0.035766,23.875,0.049215,,,,,63.9175,-0.012023,-0.25962,0.247596,81.2164,86.6932,0.546429,0.016966,1.113565
2021-02-25,2002,36963180,931153291,25.25,25.35,25.05,25.3,0.25,11548,24.94,0.014435,24.335,0.039655,23.925,0.057471,,,,,67.6768,0.065972,-0.194501,0.260474,83.7778,84.9591,0.535714,0.017065,0.810757
2021-02-26,2002,57174454,1422259506,25.1,25.2,24.7,24.75,-0.55,14671,24.97,-0.008811,24.445,0.012477,23.99,0.03168,,,,,63.8095,0.082454,-0.13911,0.221564,73.3333,79.4425,0.55,0.015755,1.134846
2021-03-02,2002,26825274,666254853,25.0,25.2,24.6,24.65,-0.1,9803,25.01,-0.014394,24.59,0.00244,24.0425,0.025268,,,,,67.0,0.08645,-0.093998,0.180448,66.0909,74.4007,0.55,0.015803,0.541874
2021-03-03,2002,55220261,1378048125,24.8,25.1,24.65,25.05,0.4,14460,24.96,0.003606,24.755,0.011917,24.1125,0.03888,,,,,67.9612,0.120504,-0.051098,0.171602,57.4457,65.6233,0.55,0.016107,1.21616
2021-03-04,2002,56331570,1413972882,25.1,25.4,24.85,25.0,-0.05,15336,24.95,0.002004,24.855,0.005834,24.165,0.034554,,,,,63.0435,0.141823,-0.012513,0.154337,53.4457,58.9941,0.539286,0.015976,1.211355
2021-03-05,2002,28969207,722404311,24.7,25.1,24.65,24.95,-0.05,9125,24.88,0.002814,24.91,0.001606,24.2275,0.029821,,,,,64.4444,0.152921,0.020573,0.132348,49.3548,53.4154,0.539286,0.015733,0.645134
2021-03-08,2002,36241317,911922786,25.0,25.35,25.0,25.1,0.15,10264,24.95,0.006012,24.96,0.005609,24.305,0.032709,,,,,72.619,0.171839,0.050827,0.121013,45.1515,49.3174,0.535714,0.015602,0.890067
2021-03-09,2002,88552463,2269734170,25.4,25.9,25.35,25.7,0.6,28677,25.16,0.021463,25.085,0.024517,24.425,0.052201,,,,,75.0,0.232566,0.087175,0.145392,56.69,50.3988,0.571429,0.015887,1.668819
2021-03-10,2002,48934014,1259435173,25.9,25.95,25.55,25.75,0.05,16351,25.3,0.017787,25.13,0.024672,24.565,0.048239,,,,,71.6049,0.281483,0.126036,0.155446,71.7517,57.8644,0.55,0.015198,0.944568
2021-03-11,2002,57675254,1489350733,25.9,25.9,25.65,25.8,0.05,15865,25.46,0.013354,25.205,0.023606,24.695,0.044746,,,,,68.9189,0.320588,0.164947,0.155642,86.2298,71.5572,0.528571,0.015175,1.107554
2021-03-12,2002,32527169,840085556,25.9,25.95,25.75,25.9,0.1,9756,25.65,0.009747,25.265,0.025134,24.8,0.044355,,,,,68.0556,0.35555,0.203067,0.152483,90.1235,82.7017,0.521429,0.014393,0.616208
2021-03-15,2002,24343646,624386402,25.85,25.9,25.5,25.65,-0.25,8348,25.76,-0.00427,25.355,0.011635,24.9,0.03012,,,,,66.2162,0.358947,0.234243,0.124704,87.3694,87.9076,0.517857,0.014542,0.482946
2021-03-16,2002,30599194,780458738,25.65,25.7,25.4,25.5,-0.15,11640,25.72,-0.008554,25.44,0.002358,25.015,0.019388,,,,,53.3333,0.345552,0.256505,0.089047,79.5347,85.6758,0.467857,0.013711,0.788317
2021-03-17,2002,37767226,966814531,25.65,25.7,25.5,25.65,0.15,11782,25.7,-0.001946,25.5,0.005882,25.1275,0.020794,,,,,60.3448,0.343086,0.273821,0.069264,73.0769,79.9937,0.421429,0.013684,1.032385
2021-03-18,2002,26448001,676867604,25.75,25.8,25.45,25.45,-0.2,8535,25.63,-0.007023,25.545,-0.003719,25.2,0.009921,,,,,52.6316,0.321289,0.283315,0.037974,63.2254,71.9457,0.425,0.013016,0.871805
2021-03-19,2002,40171855,1008630296,25.35,25.4,25.0,25.1,-0.35,11157,25.47,-0.014527,25.56,-0.017997,25.235,-0.00535,,,,,56.6038,0.27263,0.281178,-0.008548,44.9393,60.4139,0.414286,0.013114,1.26065
2021-03-22,2002,26379326,661534035,25.1,25.2,24.9,25.15,0.05,9379,25.37,-0.008672,25.565,-0.016233,25.2625,-0.004453,,,,,59.6154,0.235389,0.27202,-0.036631,27.2348,45.1331,0.392857,0.01302,0.817378
2021-03-23,2002,23243282,584023697,25.15,25.3,25.0,25.1,-0.05,6717,25.29,-0.007513,25.505,-0.015879,25.295,-0.007709,,,,,51.1111,0.19954,0.257524,-0.057984,17.7945,29.9895,0.382143,0.012932,0.754605
2021-03-24,2002,20303792,502009446,25.1,25.15,24.9,25.0,-0.1,6329,25.16,-0.006359,25.43,-0.016909,25.28,-0.011076,,,,,50.0,0.161202,0.23826,-0.077058,17.4603,20.8299,0.360714,0.010304,0.743477
2021-03-25,2002,20597331,516076438,24.95,25.25,24.9,25.0,0.0,8373,25.07,-0.002792,25.35,-0.013807,25.2775,-0.010978,,,,,51.1111,0.129328,0.216473,-0.087145,12.8571,16.0373,0.353571,0.010067,0.787989
