date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,ma_5,bias_5,ma_10,bias_10,ma_20,bias_20,ma_60,bias_60,ma_120,bias_120,rsi_14,macd,macd_signal,macd_hist,kd_k,kd_d,atr_14,volatility_20,volume_ratio_5
2021-01-06,6147,4335000,289757400,67.8,67.8,66.0,66.3,-1.1,2479,,,,,,,,,,,,0.0,0.0,0.0,,,,,
2021-01-07,6147,11766000,797030900,67.3,68.2,66.8,68.0,1.7,5722,,,,,,,,,,,,0.135613,0.027123,0.10849,,,,,
2021-01-08,6147,8280000,565732400,69.0,69.1,67.6,68.2,0.2,4491,,,,,,,,,,,,0.256271,0.072952,0.183319,,,,,
2021-01-11,6147,8794000,607053000,69.0,69.5,68.5,69.3,1.1,5067,,,,,,,,,,,,0.435632,0.145488,0.290144,,,,,
2021-01-12,6147,30570000,2178640600,70.5,72.7,69.9,70.4,1.1,17429,68.44,0.028638,,,,,,,,,,0.658942,0.248179,0.410763,,,,,2.397835
2021-01-13,6147,13250000,955381600,72.3,73.0,71.6,72.1,1.7,7372,69.6,0.03592,,,,,,,,,,0.962004,0.390944,0.57106,,,,,0.911781
2021-01-14,6147,17039000,1247981500,72.5,74.4,71.7,73.8,1.7,9507,70.76,0.042962,,,,,,,,,,1.324095,0.577574,0.74652,,,,,1.093183
2021-01-15,6147,13763000,1017367400,74.5,75.0,72.3,74.5,0.7,8228,72.02,0.034435,,,,,,,,,,1.648535,0.791766,0.856769,,,,,0.824962
2021-01-18,6147,11880000,883144200,75.3,76.5,72.5,73.9,-0.6,7474,72.94,0.013162,,,,,,,,,,1.836076,1.000628,0.835448,,,,,0.686689
2021-01-19,6147,10696000,795616100,74.5,75.0,73.6,74.5,0.6,5993,73.76,0.010033,71.1,0.04782,,,,,,,,2.00995,1.202493,0.807457,,,,,0.802666
2021-01-20,6147,20764000,1567426700,75.9,77.3,73.6,73.7,-0.8,12193,74.08,-0.00513,71.84,0.025891,,,,,,,,2.059452,1.373884,0.685568,72.502,,,,1.400286
2021-01-21,6147,9032000,673438200,74.3,75.5,73.6,74.4,0.7,5139,74.2,0.002695,72.48,0.02649,,,,,,,,2.130607,1.525229,0.605378,69.7712,,,,0.682846
2021-01-22,6147,8356000,627701500,74.7,75.8,74.5,75.4,1.0,5271,74.38,0.013713,73.2,0.030055,,,,,,,,2.241847,1.668552,0.573294,68.0855,70.1196,,,0.687986
2021-01-25,6147,11186000,846730800,76.8,77.0,73.9,75.7,0.3,6768,74.74,0.012845,73.84,0.02519,,,,,,,88.5246,2.327384,1.800319,0.527065,71.0999,69.6522,2.385714,,0.931639
2021-01-26,6147,8740000,660960400,75.7,76.2,74.9,75.7,0.0,5167,74.98,0.009603,74.37,0.017884,,,,,,,88.5246,2.367877,1.91383,0.454047,72.5609,70.5821,2.35,,0.752436
2021-01-27,6147,27255000,2094304300,76.5,80.0,74.1,75.7,0.0,15643,75.38,0.004245,74.73,0.01298,,,,,,,86.6667,2.372619,2.005588,0.367031,62.5047,68.7218,2.635714,,2.110533
2021-01-28,6147,10994000,803878200,73.7,74.2,72.1,72.5,-3.2,7199,75.0,-0.033333,74.6,-0.02815,,,,,,,65.9259,2.094024,2.023275,0.070749,40.2159,58.4272,2.785714,,0.826231
2021-01-29,6147,14758000,1044950700,73.1,73.2,69.2,69.2,-3.3,8789,73.76,-0.061822,74.07,-0.065749,,,,,,,49.6815,1.588641,1.936348,-0.347708,16.4064,39.709,2.978571,,1.011751
2021-02-01,6147,5738000,395589400,69.1,69.5,67.8,69.5,0.3,3302,72.52,-0.041644,73.63,-0.056091,,,,,,,46.9799,1.198513,1.788781,-0.590269,6.3326,20.985,2.857143,,0.425132
2021-02-02,6147,8269000,592441900,71.2,72.4,70.2,72.4,2.9,4684,71.86,0.007515,73.42,-0.013893,72.26,0.001937,,,,,50.9317,1.110538,1.653133,-0.542595,17.2131,13.3174,2.878571,,0.616961
2021-02-03,6147,5470000,390846300,72.4,72.4,70.5,71.2,-1.2,3302,70.96,0.003382,73.17,-0.026924,72.505,-0.017999,,,,,41.6667,0.933229,1.509152,-0.575923,26.5027,16.6828,2.821429,0.021209,0.604701
2021-02-04,6147,4536000,319211300,70.3,70.9,70.1,70.3,-0.9,2119,70.52,-0.00312,72.76,-0.03381,72.62,-0.031947,,,,,36.7089,0.711882,1.349698,-0.637816,28.6885,24.1348,2.707143,0.020857,0.584973
2021-02-05,6147,4151000,296091800,70.5,71.8,70.5,71.3,1.0,2561,70.94,0.005075,72.35,-0.014513,72.775,-0.020268,,,,,41.9753,0.610121,1.201783,-0.591661,25.6831,26.9581,2.528571,0.02104,0.736934
2021-02-17,6147,9287000,684200000,74.0,74.4,73.0,73.5,2.2,5461,71.74,0.024533,72.13,0.018993,72.985,0.007056,,,,,47.191,0.69894,1.101214,-0.402274,31.9672,28.7796,2.65,0.021788,1.464226
2021-02-18,6147,5475000,402743600,73.9,74.0,73.0,73.9,0.4,3184,72.04,0.025819,71.95,0.027102,73.16,0.010115,,,,,50.5747,0.792471,1.039466,-0.246994,55.9447,37.865,2.457143,0.021592,0.946609
2021-02-19,6147,5369000,392688600,73.6,73.8,72.8,73.2,-0.7,3038,72.44,0.010491,71.7,0.020921,73.215,-0.000205,,,,,46.5517,0.800879,0.991748,-0.190869,73.6546,53.8555,2.4,0.021135,0.931536
2021-02-22,6147,9340000,697717600,73.5,75.6,73.3,75.5,2.3,5359,73.48,0.02749,72.0,0.048611,73.3,0.030014,,,,,50.2674,0.981815,0.989762,-0.007946,90.9868,73.5287,2.471429,0.021643,1.388972
2021-02-23,6147,7441000,553326900,74.6,75.0,73.8,74.4,-1.1,4714,74.1,0.004049,72.52,0.025924,73.295,0.015076,,,,,46.6667,1.024636,0.996737,0.0279,86.2393,83.6269,2.371429,0.021835,1.007938
2021-02-24,6147,5504000,409631300,74.1,75.1,73.5,74.4,0.0,3283,74.28,0.001616,73.01,0.019038,73.32,0.01473,,,,,46.6667,1.046509,1.006691,0.039818,85.0272,87.4178,2.392857,0.02175,0.830692
2021-02-25,6147,6168000,458579600,75.5,75.6,73.8,74.5,0.1,3530,74.4,0.001344,73.22,0.017482,73.32,0.016094,,,,,46.9388,1.059697,1.017292,0.042405,78.7879,83.3515,2.1,0.021679,0.911833
2021-02-26,6147,4646000,342830400,73.5,74.4,73.4,74.1,-0.4,2394,74.58,-0.006436,73.51,0.008026,73.34,0.010363,,,,,54.7619,1.026044,1.019043,0.007001,76.2567,80.0239,1.921429,0.021569,0.701834
2021-03-02,6147,14068000,1068428400,74.9,77.4,74.6,75.5,1.4,8552,74.58,0.012336,74.03,0.019857,73.395,0.02868,,,,,71.1409,1.099666,1.035167,0.064499,69.7613,74.9353,1.871429,0.021875,1.859518
2021-03-03,6147,16371000,1225885800,76.5,77.3,73.2,75.1,-0.4,9852,74.72,0.005086,74.41,0.009273,73.38,0.02344,,,,,68.6667,1.112906,1.050715,0.062191,59.7613,68.5931,2.042857,0.021713,1.750647
2021-03-04,6147,10385000,771141900,74.5,74.9,73.6,74.1,-1.0,5592,74.66,-0.007501,74.47,-0.004968,73.3,0.010914,,,,,56.4885,1.030825,1.046737,-0.015912,45.6522,58.3916,1.942857,0.021891,1.005558
2021-03-05,6147,11221000,824320900,73.6,74.4,72.7,72.7,-1.4,5080,74.3,-0.021534,74.35,-0.022192,73.15,-0.006152,,,,,55.6391,0.843088,1.006007,-0.162919,26.087,43.8335,1.928571,0.022258,0.989663
2021-03-08,6147,9710000,701636700,73.2,73.6,71.5,72.2,-0.5,4851,73.92,-0.023268,74.25,-0.027609,72.975,-0.01062,,,,,57.3643,0.646507,0.934107,-0.2876,13.3751,28.3714,2.0,0.022282,0.786171
