date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,ma_5,bias_5,ma_10,bias_10,ma_20,bias_20,ma_60,bias_60,ma_120,bias_120,rsi_14,macd,macd_signal,macd_hist,kd_k,kd_d,atr_14,volatility_20,volume_ratio_5
2021-01-06,9914,1326254,322501809,244.5,246.5,238.0,241.0,-1.0,1290,,,,,,,,,,,,0.0,0.0,0.0,,,,,
2021-01-07,9914,2020365,504207704,244.0,253.0,244.0,251.0,10.0,1834,,,,,,,,,,,,0.797721,0.159544,0.638177,,,,,
2021-01-08,9914,975666,245457795,251.0,255.0,246.5,252.0,1.0,908,,,,,,,,,,,,1.493397,0.426315,1.067082,,,,,
2021-01-11,9914,1798994,444631711,250.5,253.0,243.0,245.5,-6.5,963,,,,,,,,,,,,1.502905,0.641633,0.861272,,,,,
2021-01-12,9914,1541111,382895022,246.0,251.0,244.0,247.5,2.0,1076,247.4,0.000404,,,,,,,,,,1.652772,0.843861,0.808911,,,,,1.005633
2021-01-13,9914,3118846,805156017,247.5,266.0,247.5,260.5,13.0,2514,251.3,0.03661,,,,,,,,,,2.78839,1.232767,1.555624,,,,,1.649314
2021-01-14,9914,2815151,753667183,259.5,274.0,258.0,268.0,7.5,2513,254.7,0.052218,,,,,,,,,,4.244634,1.83514,2.409494,,,,,1.373275
2021-01-15,9914,1279326,343498028,268.5,274.5,264.0,264.0,-4.0,1217,257.1,0.026838,,,,,,,,,,5.018106,2.471733,2.546373,,,,,0.606119
2021-01-18,9914,932598,248128525,265.5,271.5,260.0,265.5,1.5,858,261.1,0.016852,,,,,,,,,,5.686574,3.114701,2.571872,,,,,0.481364
2021-01-19,9914,3456241,965143904,270.5,287.0,266.0,284.5,19.0,2868,268.5,0.05959,257.95,0.102927,,,,,,,,7.661167,4.023995,3.637173,,,,,1.489481
2021-01-20,9914,2378181,651506595,279.0,282.5,268.0,268.5,-16.0,2203,270.1,-0.005924,260.7,0.029919,,,,,,,,7.844554,4.788106,3.056447,75.8717,,,,1.094776
2021-01-21,9914,1792296,489333197,274.5,278.5,268.0,271.0,2.5,1519,270.7,0.001108,262.7,0.031595,,,,,,,,8.098266,5.450138,2.648128,71.9697,,,,0.910845
2021-01-22,9914,3460146,976680971,271.0,289.0,270.0,285.0,14.0,2847,274.9,0.036741,266.0,0.071429,,,,,,,,9.321565,6.224424,3.097141,70.9007,72.914,,,1.439393
2021-01-25,9914,1125234,321669166,285.0,290.0,280.0,285.5,0.5,1102,278.9,0.023664,270.0,0.057407,,,,,,,72.8205,10.213647,7.022268,3.191379,81.3864,74.7523,12.857143,,0.460705
2021-01-26,9914,1671121,470656201,288.0,294.5,275.5,275.5,-10.0,1481,277.1,-0.005774,272.8,0.009897,,,,,,,66.0465,9.998456,7.617506,2.38095,76.156,76.1477,13.607143,,0.801345
2021-01-27,9914,1579315,446890834,277.5,290.0,277.5,284.0,8.5,1298,280.2,0.013562,275.15,0.032164,,,,,,,65.566,10.39398,8.172801,2.221179,68.9741,75.5055,13.785714,,0.820158
2021-01-28,9914,1002995,276825779,278.0,281.5,271.0,271.0,-13.0,934,280.2,-0.032834,275.45,-0.016155,,,,,,,58.0508,9.548376,8.447916,1.10046,49.7982,64.9761,14.107143,,0.567381
2021-01-29,9914,1232825,330282674,273.0,275.0,263.5,265.5,-5.5,1041,276.3,-0.039088,275.6,-0.036647,,,,,,,58.547,8.338306,8.425994,-0.087688,35.967,51.5797,14.214286,,0.932335
2021-02-01,9914,470085,125896096,266.5,270.5,263.5,270.5,5.0,448,273.3,-0.010245,276.1,-0.020283,,,,,,,59.5833,7.694082,8.279611,-0.585529,20.3054,35.3569,14.214286,,0.394609
2021-02-02,9914,1484129,415391300,271.0,284.0,271.0,283.5,13.0,1294,274.9,0.031284,276.0,0.027174,266.975,0.061897,,,,,59.5833,8.138704,8.25143,-0.112726,31.1828,29.1517,13.857143,,1.286219
2021-02-03,9914,1562373,449159594,284.0,290.5,282.5,287.0,3.5,1365,275.5,0.041742,277.85,0.032931,269.275,0.065825,,,,,58.1897,8.673507,8.335845,0.337662,54.3011,35.2631,13.285714,0.034876,1.358017
2021-02-04,9914,3126338,931673795,289.0,304.5,287.0,297.0,10.0,2814,280.7,0.058069,280.45,0.059012,271.575,0.093621,,,,,63.5246,9.791391,8.626954,1.164436,74.01,53.1646,13.785714,0.034584,1.984787
2021-02-05,9914,1638342,478817856,298.0,307.5,287.5,288.5,-8.5,1643,285.3,0.011216,280.8,0.027422,273.4,0.05523,,,,,58.9147,9.87758,8.877079,1.0005,71.444,66.585,14.392857,0.035587,0.989186
