date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,ma_5,bias_5,ma_10,bias_10,ma_20,bias_20,ma_60,bias_60,ma_120,bias_120,rsi_14,macd,macd_signal,macd_hist,kd_k,kd_d,atr_14,volatility_20,volume_ratio_5
2021-01-06,3035,8776349,437933592,51.8,52.3,48.3,49.3,-2.2,5690,,,,,,,,,,,,0.0,0.0,0.0,,,,,
2021-01-07,3035,3645110,181482241,49.95,50.3,49.15,49.75,0.45,2308,,,,,,,,,,,,0.035897,0.007179,0.028718,,,,,
2021-01-08,3035,4187460,205364193,50.0,50.2,48.6,48.75,-1.0,2912,,,,,,,,,,,,-0.016159,0.002512,-0.018671,,,,,
2021-01-11,3035,6359137,322766281,49.05,51.9,48.85,51.6,2.85,4191,,,,,,,,,,,,0.170591,0.036128,0.134463,,,,,
2021-01-12,3035,12839608,670373058,51.6,53.2,50.9,52.0,0.4,7469,50.28,0.034208,,,,,,,,,,0.346869,0.098276,0.248593,,,,,1.792858
2021-01-13,3035,13728940,733675087,52.8,54.0,52.5,54.0,2.0,7954,51.22,0.054276,,,,,,,,,,0.640571,0.206735,0.433836,,,,,1.684109
2021-01-14,3035,7798823,417666981,53.2,54.5,52.5,54.0,0.0,5017,52.07,0.037065,,,,,,,,,,0.863378,0.338064,0.525315,,,,,0.868196
2021-01-15,3035,10298996,554873740,55.0,55.6,52.4,53.4,-0.6,6377,53.0,0.007547,,,,,,,,,,0.980241,0.466499,0.513742,,,,,1.009201
2021-01-18,3035,3714657,194056136,53.4,53.8,51.3,52.4,-1.0,2448,53.16,-0.014296,,,,,,,,,,0.980857,0.56937,0.411486,,,,,0.383896
2021-01-19,3035,4856161,257649582,52.8,54.2,51.9,53.0,0.6,3118,53.36,-0.006747,51.82,0.022771,,,,,,,,1.018024,0.659101,0.358923,,,,,0.601046
2021-01-20,3035,5391020,276895994,53.2,53.4,50.0,51.0,-2.0,3261,52.76,-0.033359,51.99,-0.019042,,,,,,,,0.875999,0.702481,0.173518,51.1024,,,,0.840779
2021-01-21,3035,8071786,428291855,51.4,54.0,51.4,52.7,1.7,4834,52.5,0.00381,52.285,0.007937,,,,,,,,0.890355,0.740056,0.150299,51.3933,,,,1.248242
2021-01-22,3035,34549032,1956354682,52.7,57.9,52.6,57.9,5.2,15784,53.4,0.08427,53.2,0.088346,,,,,,,,1.306271,0.853299,0.452972,63.7743,55.4233,,,3.05297
2021-01-25,3035,37172938,2090541838,59.7,59.7,53.8,54.1,-3.8,19755,53.74,0.006699,53.45,0.012161,,,,,,,61.1111,1.314111,0.945461,0.36865,66.435,60.5342,2.985714,,2.064224
2021-01-26,3035,14225315,744292916,53.7,54.1,50.9,51.1,-3.0,8487,53.36,-0.042354,53.36,-0.042354,,,,,,,53.6585,1.065962,0.969561,0.0964,51.2027,60.4707,2.928571,,0.715486
2021-01-27,3035,11519591,605709881,52.5,53.3,51.3,52.5,1.4,6394,53.66,-0.021618,53.21,-0.013343,,,,,,,55.3816,0.971076,0.969864,0.001212,26.4605,48.0328,3.003571,,0.545752
2021-01-28,3035,9765403,521457818,51.6,54.5,51.3,53.4,0.9,5894,53.8,-0.007435,53.15,0.004704,,,,,,,59.1356,0.957463,0.967384,-0.009921,24.055,33.9061,3.117857,,0.455339
2021-01-29,3035,10161508,546851438,54.3,55.1,52.1,52.2,-1.2,6215,52.66,-0.008735,53.03,-0.015652,,,,,,,51.2605,0.840161,0.941939,-0.101779,27.8351,26.1168,3.107143,,0.613286
2021-02-01,3035,4705956,242599845,52.5,52.7,50.6,51.4,-0.8,2717,52.12,-0.013814,52.93,-0.028906,,,,,,,48.7603,0.674865,0.888524,-0.21366,24.055,25.315,3.092857,,0.467067
2021-02-02,3035,5087865,267450222,51.9,53.5,51.3,52.9,1.5,3319,52.48,0.008003,52.92,-0.000378,52.37,0.01012,,,,,47.6793,0.657327,0.842285,-0.184958,20.796,24.2287,3.107143,,0.616856
2021-02-03,3035,6015006,322448213,53.3,54.5,52.5,53.3,0.4,3859,52.64,0.012538,53.15,0.002822,52.57,0.013886,,,,,48.5477,0.668004,0.807429,-0.139425,23.126,22.659,3.107143,0.03837,0.841595
2021-02-04,3035,3323701,175736048,52.6,53.8,52.2,52.2,-1.1,2114,52.4,-0.003817,53.1,-0.016949,52.6925,-0.009347,,,,,47.561,0.581008,0.762144,-0.181137,24.1758,22.6993,2.992857,0.038761,0.5673
2021-02-05,3035,3399995,177200784,52.7,53.1,51.5,51.8,-0.4,2223,52.32,-0.009939,52.49,-0.013145,52.845,-0.019775,,,,,48.75,0.474318,0.704579,-0.230261,24.6398,23.9805,2.928571,0.038467,0.754464
2021-02-17,3035,4792940,255235916,54.5,54.5,52.4,53.2,1.4,2945,52.68,0.009871,52.4,0.015267,52.925,0.005196,,,,,50.4032,0.497005,0.663064,-0.166059,34.009,27.6082,2.957143,0.036716,1.05947
2021-02-18,3035,3954219,212185022,53.1,54.3,52.6,54.0,0.8,2527,52.9,0.020794,52.69,0.024862,53.025,0.018388,,,,,56.3559,0.572933,0.645038,-0.072105,53.3333,37.3274,2.835714,0.03681,0.920191
2021-02-19,3035,7878918,433488385,53.6,55.9,53.3,55.9,1.9,4892,53.42,0.046425,53.03,0.05412,53.12,0.052334,,,,,56.7227,0.777459,0.671522,0.105937,77.7778,55.04,2.807143,0.036649,1.687151
2021-02-22,3035,10547632,595221118,55.9,57.6,54.9,57.3,1.4,6403,54.44,0.052535,53.42,0.072632,53.285,0.07535,,,,,48.5,1.040521,0.745322,0.295199,90.4233,73.8448,2.621429,0.03699,1.724952
2021-02-23,3035,6914059,384598687,56.0,56.5,55.0,55.4,-1.9,4453,55.16,0.004351,53.74,0.030889,53.385,0.037745,,,,,53.5912,1.083199,0.812897,0.270302,86.9312,85.0441,2.364286,0.037772,1.014155
2021-02-24,3035,4844739,264224472,54.8,55.7,53.8,53.9,-1.5,3154,55.3,-0.025316,53.99,-0.001667,53.46,0.00823,,,,,58.4337,0.984634,0.847245,0.137389,66.7126,81.3557,2.271429,0.038065,0.709549
2021-02-25,3035,4374600,235236919,54.5,55.0,53.0,53.4,-0.5,2721,55.18,-0.032258,54.04,-0.011843,53.48,-0.001496,,,,,52.8662,0.856304,0.849057,0.007247,45.1904,66.2781,2.257143,0.038079,0.6329
2021-02-26,3035,3727571,198367982,52.6,54.1,52.5,53.0,-0.4,2294,54.6,-0.029304,54.01,-0.0187,53.58,-0.010825,,,,,48.6842,0.714093,0.822064,-0.107971,31.694,47.8657,2.142857,0.037043,0.612914
