date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,ma_5,bias_5,ma_10,bias_10,ma_20,bias_20,ma_60,bias_60,ma_120,bias_120,rsi_14,macd,macd_signal,macd_hist,kd_k,kd_d,atr_14,volatility_20,volume_ratio_5
2021-01-06,2347,4837940,228337084,47.8,47.8,46.6,47.35,-0.35,2213,,,,,,,,,,,,0.0,0.0,0.0,,,,,
2021-01-07,2347,3915889,185892907,47.2,47.8,47.15,47.25,-0.1,1970,,,,,,,,,,,,-0.007977,-0.001595,-0.006382,,,,,
2021-01-08,2347,3979824,188454385,47.35,47.8,46.8,47.8,0.55,1905,,,,,,,,,,,,0.029738,0.004671,0.025067,,,,,
2021-01-11,2347,2826464,133924553,47.8,47.8,47.15,47.55,-0.25,1268,,,,,,,,,,,,0.039006,0.011538,0.027468,,,,,
2021-01-12,2347,3594071,168597509,47.1,47.35,46.65,46.75,-0.8,1669,47.34,-0.012463,,,,,,,,,,-0.017996,0.005631,-0.023627,,,,,0.938195
2021-01-13,2347,2859408,134931990,47.0,47.5,46.75,47.2,0.45,1267,47.31,-0.002325,,,,,,,,,,-0.026552,-0.000805,-0.025747,,,,,0.832401
2021-01-14,2347,4146520,194560209,47.3,47.45,46.8,46.85,-0.35,1987,47.23,-0.008046,,,,,,,,,,-0.060874,-0.012819,-0.048055,,,,,1.191098
2021-01-15,2347,5441484,258906915,46.9,48.0,46.8,47.55,0.7,2460,47.18,0.007842,,,,,,,,,,-0.03123,-0.016501,-0.014729,,,,,1.441992
2021-01-18,2347,2429092,114192974,47.15,47.45,46.85,46.95,-0.6,1501,47.06,-0.002337,,,,,,,,,,-0.055512,-0.024303,-0.031209,,,,,0.657557
2021-01-19,2347,2650028,124587789,46.9,47.35,46.85,46.85,-0.1,1271,47.08,-0.004885,47.21,-0.007626,,,,,,,,-0.081881,-0.035819,-0.046062,,,,,0.756005
2021-01-20,2347,4147881,191730110,46.65,46.85,45.5,46.15,-0.7,2195,46.87,-0.015362,47.09,-0.019962,,,,,,,,-0.157448,-0.060145,-0.097303,21.9383,,,,1.10228
2021-01-21,2347,2649286,123067967,45.8,46.8,45.75,46.5,0.35,1982,46.8,-0.00641,47.015,-0.010954,,,,,,,,-0.186938,-0.085503,-0.101435,26.9383,,,,0.764904
2021-01-22,2347,3660355,170474322,46.9,47.05,45.85,46.8,0.3,2177,46.65,0.003215,46.915,-0.002451,,,,,,,,-0.183981,-0.105199,-0.078782,39.3333,29.4033,,,1.177975
2021-01-25,2347,2332089,109647381,46.95,47.3,46.5,46.9,0.1,1368,46.64,0.005575,46.85,0.001067,,,,,,,45.7944,-0.17159,-0.118477,-0.053113,49.3333,38.535,0.9,,0.755228
2021-01-26,2347,3276550,154284269,46.7,47.45,46.7,47.05,0.15,1993,46.68,0.007926,46.88,0.003626,,,,,,,47.2727,-0.147961,-0.124374,-0.023587,56.6667,48.4444,0.867857,,1.019705
2021-01-27,2347,3003214,142098051,47.2,47.5,47.0,47.25,0.2,1543,46.9,0.007463,46.885,0.007785,,,,,,,50.0,-0.111808,-0.121861,0.010053,62.6667,56.2222,0.857143,,1.006338
2021-01-28,2347,4634651,215870479,46.65,47.15,46.15,46.7,-0.55,2483,46.94,-0.005113,46.87,-0.003627,,,,,,,40.1786,-0.126083,-0.122705,-0.003378,64.0,61.1111,0.864286,,1.370642
2021-01-29,2347,5762151,264212705,46.2,46.9,45.1,45.2,-1.5,2602,46.62,-0.030459,46.635,-0.030771,,,,,,,32.8467,-0.255489,-0.149262,-0.106227,44.7222,57.1296,0.946429,,1.515665
2021-02-01,2347,2889147,132200535,45.5,46.15,45.2,45.85,0.65,1770,46.41,-0.012066,46.525,-0.014508,,,,,,,43.2836,-0.302111,-0.179832,-0.12228,31.8056,46.8426,0.95,,0.738319
2021-02-02,2347,3248343,151645179,45.3,47.05,45.3,46.65,0.8,2102,46.33,0.006907,46.505,0.003118,46.8575,-0.004428,,,,,46.0993,-0.271378,-0.198141,-0.073237,33.3333,36.6204,1.021429,,0.83131
2021-02-03,2347,2752622,129849354,46.65,47.35,46.2,47.3,0.65,1519,46.34,0.020716,46.62,0.014586,46.855,0.009497,,,,,53.0612,-0.192356,-0.196984,0.004628,62.5,42.5463,1.057143,0.013004,0.713598
2021-02-04,2347,1442775,67828310,46.85,47.25,46.85,47.05,-0.25,693,46.41,0.01379,46.675,0.008034,46.845,0.004376,,,,,46.3768,-0.148194,-0.187226,0.039032,79.1667,58.3333,1.003571,0.01305,0.448205
2021-02-05,2347,3007144,141039462,47.3,47.45,46.6,46.8,-0.25,1545,46.73,0.001498,46.675,0.002678,46.795,0.000107,,,,,48.855,-0.131849,-0.176151,0.044302,81.25,74.3056,1.014286,0.012794,1.127113
2021-02-17,2347,3954681,187095008,47.2,47.75,46.95,47.25,0.45,2163,47.01,0.005105,46.71,0.011561,46.78,0.010047,,,,,52.8986,-0.081643,-0.157249,0.075606,77.7385,79.385,1.046429,0.012964,1.372623
2021-02-18,2347,3083015,145532905,47.0,47.5,47.0,47.1,-0.15,1474,47.1,0.0,46.715,0.008241,46.7975,0.006464,,,,,57.4803,-0.053343,-0.136468,0.083125,75.8124,78.2669,0.985714,0.012391,1.082501
2021-02-19,2347,3459945,163172903,46.95,47.6,46.65,47.6,0.5,1550,47.16,0.00933,46.75,0.018182,46.8175,0.016714,,,,,58.4615,0.009324,-0.107309,0.116633,83.6478,79.0662,0.978571,0.012431,1.157361
2021-02-22,2347,4228958,203759057,47.8,48.85,47.8,47.85,0.25,1770,47.32,0.0112,46.865,0.021018,46.8675,0.020963,,,,,58.1395,0.078258,-0.070196,0.148454,80.8047,80.0883,0.982143,0.012329,1.192348
2021-02-23,2347,3894708,187353366,48.15,48.45,47.9,48.3,0.45,2319,47.62,0.01428,47.175,0.023847,46.905,0.029741,,,,,60.2941,0.167272,-0.022702,0.189974,83.8165,82.7563,0.967857,0.012062,1.045767
2021-02-24,2347,5955677,290054430,48.55,49.3,48.3,48.3,0.0,2400,47.83,0.009826,47.42,0.018558,46.9725,0.028261,,,,,59.3985,0.235106,0.028859,0.206247,74.9506,79.8572,0.985714,0.011643,1.443989
2021-02-25,2347,5943907,295837269,48.8,50.5,48.6,50.4,2.1,3319,48.49,0.03939,47.795,0.054504,47.15,0.068929,,,,,68.4211,0.453094,0.113706,0.339388,83.2283,80.6651,1.107143,0.014907,1.265566
2021-02-26,2347,7582654,374473131,49.85,49.9,48.75,49.35,-1.05,3354,48.84,0.010442,48.0,0.028125,47.31,0.04312,,,,,64.6409,0.534959,0.197957,0.337002,78.5636,78.9141,1.146429,0.015348,1.373375
2021-03-02,2347,4659472,230377744,49.8,50.2,49.0,49.0,-0.35,2043,49.07,-0.001427,48.195,0.016703,47.435,0.032993,,,,,74.0506,0.565081,0.271381,0.293699,76.3292,79.3737,1.103571,0.015491,0.830968
2021-03-03,2347,4092694,201449431,49.35,49.55,48.8,49.35,0.35,2274,49.28,0.00142,48.45,0.018576,47.5625,0.037582,,,,,73.0263,0.610161,0.339137,0.271024,67.2272,74.04,1.089286,0.015501,0.724771
2021-03-04,2347,3871412,190165126,49.25,49.6,48.85,49.1,-0.25,2247,49.44,-0.006877,48.635,0.009561,47.6725,0.029944,,,,,67.3759,0.618584,0.395027,0.223558,64.9351,69.4972,1.017857,0.015599,0.740228
2021-03-05,2347,2847351,138966260,48.6,49.15,48.35,48.75,-0.35,1796,49.11,-0.00733,48.8,-0.001025,47.7575,0.020782,,,,,60.7407,0.590214,0.434064,0.15615,56.3171,62.8265,0.992857,0.015742,0.617551
2021-03-08,2347,2721346,132744568,48.95,49.15,48.7,48.7,-0.05,1006,48.98,-0.005717,48.91,-0.004294,47.83,0.018189,,,,,62.5954,0.557272,0.458706,0.098566,43.1969,54.8164,0.992857,0.015745,0.74794
2021-03-09,2347,3167414,156026876,48.7,49.8,48.7,49.15,0.45,1866,49.01,0.002857,49.04,0.002243,47.9525,0.024973,,,,,67.4074,0.561009,0.479167,0.081843,34.8636,44.7926,1.010714,0.015509,0.948315
