date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,ma_5,bias_5,ma_10,bias_10,ma_20,bias_20,ma_60,bias_60,ma_120,bias_120,rsi_14,macd,macd_signal,macd_hist,kd_k,kd_d,atr_14,volatility_20,volume_ratio_5
2021-01-06,2329,44893275,748387683,16.15,17.6,15.6,15.8,-0.3,13451,,,,,,,,,,,,0.0,0.0,0.0,,,,,
2021-01-07,2329,8166150,130347633,15.85,16.4,15.7,15.85,0.05,2835,,,,,,,,,,,,0.003989,0.000798,0.003191,,,,,
2021-01-08,2329,7253988,112976393,16.05,16.05,15.4,15.55,-0.3,2238,,,,,,,,,,,,-0.016863,-0.002735,-0.014129,,,,,
2021-01-11,2329,13840742,224191823,15.65,16.65,15.6,16.05,0.5,4140,,,,,,,,,,,,0.006878,-0.000812,0.00769,,,,,
2021-01-12,2329,15581541,249982805,16.45,16.65,15.55,15.8,-0.25,4598,15.81,-0.000633,,,,,,,,,,0.005457,0.000442,0.005015,,,,,0.868191
2021-01-13,2329,6799004,107925318,15.8,16.1,15.5,16.05,0.25,2241,15.86,0.01198,,,,,,,,,,0.024224,0.005198,0.019026,,,,,0.65829
2021-01-14,2329,8606585,139997754,16.15,16.6,16.05,16.3,0.25,2982,15.95,0.021944,,,,,,,,,,0.058595,0.015878,0.042718,,,,,0.826256
2021-01-15,2329,8065515,129353852,16.3,16.55,15.7,15.75,-0.55,2509,15.99,-0.015009,,,,,,,,,,0.040982,0.020898,0.020083,,,,,0.762431
2021-01-18,2329,5922342,93216872,15.9,16.05,15.15,15.8,0.05,1878,15.94,-0.008783,,,,,,,,,,0.030704,0.02286,0.007844,,,,,0.658404
2021-01-19,2329,14562946,237002630,15.95,16.4,15.9,16.4,0.6,4096,16.06,0.021171,15.935,0.029181,,,,,,,,0.070164,0.03232,0.037844,,,,,1.656522
2021-01-20,2329,36386317,612385954,17.0,17.55,16.25,16.45,0.05,10939,16.14,0.019207,16.0,0.028125,,,,,,,,0.10427,0.04671,0.057559,54.6769,,,,2.473789
2021-01-21,2329,10420405,170148865,16.35,16.75,16.0,16.05,-0.4,3524,16.09,-0.002486,16.02,0.001873,,,,,,,,0.097893,0.056947,0.040946,58.3333,,,,0.691398
2021-01-22,2329,9738683,158742248,16.15,16.6,15.9,16.45,0.4,3397,16.23,0.013555,16.11,0.021105,,,,,,,,0.123691,0.070296,0.053395,48.6111,53.8738,,,0.63213
2021-01-25,2329,9483980,152649640,16.45,16.6,15.8,16.1,-0.35,2875,16.29,-0.011664,16.115,-0.000931,,,,,,,53.75,0.114573,0.079151,0.035422,43.75,50.2315,0.9,,0.588392
2021-01-26,2329,6237086,99218636,16.1,16.25,15.6,15.8,-0.3,1942,16.17,-0.022882,16.115,-0.019547,,,,,,,50.0,0.082192,0.079759,0.002433,40.2778,44.213,0.803571,,0.431534
2021-01-27,2329,9685293,150161183,15.95,16.05,15.2,15.4,-0.4,2862,15.96,-0.035088,16.05,-0.040498,,,,,,,45.1613,0.023976,0.068603,-0.044626,25.6944,36.5741,0.814286,,1.062789
2021-01-28,2329,11108916,165168966,14.9,15.25,14.55,15.15,-0.25,2846,15.78,-0.039924,15.935,-0.049263,,,,,,,45.6522,-0.04185,0.046512,-0.088362,19.1667,28.3796,0.828571,,1.200861
2021-01-29,2329,15670390,239665494,15.15,15.7,14.7,14.75,-0.4,4373,15.44,-0.044689,15.835,-0.068519,,,,,,,35.5556,-0.124855,0.012239,-0.137094,12.3611,19.0741,0.821429,,1.501408
2021-02-01,2329,3826047,56166142,14.9,14.95,14.2,14.8,0.05,1392,15.18,-0.025033,15.735,-0.059422,,,,,,,38.3721,-0.184477,-0.027104,-0.157372,14.859,15.4623,0.796429,,0.411158
2021-02-02,2329,12929437,198019813,14.9,15.65,14.8,15.55,0.75,3398,15.13,0.027759,15.65,-0.00639,15.7925,-0.015355,,,,,44.7917,-0.169257,-0.055535,-0.113722,25.8394,17.6865,0.814286,,1.214714
2021-02-03,2329,7544019,117760132,15.6,16.0,15.3,15.35,-0.2,2549,15.12,0.015212,15.54,-0.012227,15.77,-0.026633,,,,,40.0,-0.171359,-0.0787,-0.092659,39.5894,26.7626,0.825,0.024137,0.738469
2021-02-04,2329,2576045,39416441,15.3,15.5,15.15,15.2,-0.15,907,15.13,0.004627,15.455,-0.0165,15.7375,-0.034154,,,,,43.6782,-0.183018,-0.099563,-0.083455,47.5082,37.6457,0.789286,0.024188,0.302737
2021-02-05,2329,3728356,57059263,15.25,15.5,15.15,15.35,0.15,1122,15.25,0.006557,15.345,0.000326,15.7275,-0.024003,,,,,44.9438,-0.178101,-0.115271,-0.06283,48.5603,45.2193,0.75,0.023972,0.609131
2021-02-17,2329,12055275,193369287,15.7,16.3,15.55,16.15,0.8,4126,15.52,0.040593,15.35,0.052117,15.7325,0.026537,,,,,47.3118,-0.108402,-0.113897,0.005495,63.5405,53.203,0.775,0.025747,1.552189
2021-02-18,2329,7798582,125771826,16.1,16.4,15.9,16.1,-0.05,2745,15.63,0.03007,15.38,0.046814,15.7475,0.022385,,,,,46.2366,-0.056547,-0.102427,0.04588,78.4394,63.5134,0.717857,0.025484,1.156981
2021-02-19,2329,26101721,435480430,16.1,17.15,16.0,16.9,0.8,7113,15.94,0.060226,15.53,0.088216,15.79,0.070298,,,,,58.4158,0.048541,-0.072233,0.120775,90.2487,77.4095,0.746429,0.027545,2.497295
2021-02-22,2329,30690803,536590347,17.05,18.4,16.85,17.85,0.95,9111,16.47,0.083789,15.8,0.129747,15.8675,0.124941,,,,,62.5,0.206106,-0.016566,0.222672,88.2646,85.6509,0.807143,0.029923,1.909232
2021-02-23,2329,13202477,230305492,17.5,17.85,17.1,17.35,-0.5,4671,16.87,0.028453,16.06,0.080324,15.9475,0.087945,,,,,60.8696,0.28732,0.044211,0.243108,83.0878,87.2004,0.803571,0.029558,0.734705
2021-02-24,2329,16081894,271771687,17.35,17.55,16.55,16.6,-0.75,4359,16.96,-0.021226,16.24,0.022167,15.9875,0.038311,,,,,56.4516,0.287845,0.092938,0.194907,67.4512,79.6012,0.828571,0.031488,0.856555
2021-02-25,2329,15302165,264329935,17.0,17.8,16.65,17.4,0.8,4478,17.22,0.010453,16.425,0.059361,16.0375,0.084957,,,,,65.1515,0.348794,0.144109,0.204685,61.5598,70.6996,0.853571,0.032162,0.7547
2021-02-26,2329,18707164,331162614,16.95,18.3,16.85,17.85,0.45,6205,17.41,0.025273,16.675,0.070465,16.1075,0.108179,,,,,69.8529,0.428469,0.200981,0.227487,65.641,64.884,0.896429,0.032549,0.995226
2021-03-02,2329,11651854,206452364,18.0,18.35,17.2,17.25,-0.6,4091,17.29,-0.002313,16.88,0.021919,16.1675,0.066955,,,,,67.8571,0.438146,0.248414,0.189732,70.6523,65.951,0.907143,0.033047,0.777355
2021-03-03,2329,10090497,170798066,17.3,17.4,16.6,17.15,-0.1,3087,17.25,-0.005797,17.06,0.005275,16.2025,0.058479,,,,,66.6667,0.432757,0.285283,0.147474,64.242,66.8451,0.910714,0.032742,0.702352
2021-03-04,2329,6196212,104436856,17.15,17.3,16.6,16.9,-0.25,2107,17.31,-0.023686,17.135,-0.013715,16.2425,0.04048,,,,,60.3053,0.403661,0.308958,0.094702,49.0497,61.3147,0.9,0.032518,0.500115
2021-03-05,2329,3799096,63082977,16.6,16.85,16.4,16.6,-0.3,1589,17.15,-0.03207,17.185,-0.034041,16.2825,0.019499,,,,,59.3985,0.352332,0.317633,0.034699,32.5,48.5972,0.885714,0.032488,0.37656
2021-03-08,2329,6615740,107910270,16.9,16.9,16.0,16.15,-0.45,2509,16.81,-0.039262,17.11,-0.056108,16.32,-0.010417,,,,,56.8345,0.272205,0.308548,-0.036342,17.961,33.1702,0.925,0.032572,0.862471
2021-03-09,2329,6484509,103372705,16.05,16.2,15.7,16.15,0.0,1856,16.59,-0.026522,16.94,-0.046635,16.37,-0.013439,,,,,55.8824,0.206326,0.288103,-0.081777,11.1214,20.5275,0.935714,0.032272,0.976993
2021-03-10,2329,4013807,64754504,16.3,16.5,16.0,16.05,-0.1,1471,16.37,-0.019548,16.81,-0.045211,16.435,-0.023426,,,,,49.1803,0.144382,0.259359,-0.114977,12.1906,13.7576,0.903571,0.031589,0.740299
2021-03-11,2329,5025863,81512826,16.0,16.45,16.0,16.45,0.4,1810,16.28,0.010442,16.795,-0.020542,16.5175,-0.004087,,,,,52.7132,0.126114,0.23271,-0.106596,19.4969,14.2696,0.9,0.031908,0.968784
2021-03-12,2329,4238355,68963494,16.5,16.6,16.1,16.2,-0.25,1797,16.2,0.0,16.675,-0.028486,16.55,-0.021148,,,,,44.0678,0.090422,0.204252,-0.113831,20.1258,17.2711,0.853571,0.030393,0.80338
2021-03-15,2329,8594593,142355429,16.35,16.8,16.25,16.4,0.2,3657,16.25,0.009231,16.53,-0.007864,16.6025,-0.012197,,,,,35.9223,0.077381,0.178878,-0.101497,29.4488,23.0238,0.785714,0.030245,1.51542
2021-03-16,2329,3549234,57793096,16.45,16.5,16.2,16.2,-0.2,1928,16.26,-0.00369,16.425,-0.013699,16.6525,-0.027173,,,,,38.1443,0.050328,0.153168,-0.10284,30.4315,26.6687,0.753571,0.030307,0.698068
2021-03-17,2329,4453806,72069147,16.25,16.35,16.05,16.15,-0.05,1778,16.28,-0.007985,16.325,-0.01072,16.6925,-0.0325,,,,,44.5783,0.024571,0.127449,-0.102878,36.6422,32.1741,0.703571,0.030305,0.861076
2021-03-18,2329,8574145,140651813,16.15,16.65,16.15,16.35,0.2,2772,16.26,0.005535,16.27,0.004917,16.7025,-0.021105,,,,,35.2113,0.020065,0.105972,-0.085907,40.9722,36.0153,0.653571,0.028139,1.457686
2021-03-19,2329,3234380,52543903,16.25,16.4,16.15,16.2,-0.15,1665,16.26,-0.00369,16.23,-0.001848,16.7075,-0.030376,,,,,24.6154,0.00434,0.085646,-0.081306,45.7071,41.1071,0.567857,0.028218,0.56931
2021-03-22,2329,4081706,66953126,16.2,16.6,16.15,16.55,0.35,1844,16.29,0.015961,16.27,0.01721,16.69,-0.008388,,,,,38.3333,0.019891,0.072495,-0.052604,56.1237,47.601,0.517857,0.026283,0.854154
2021-03-23,2329,4572466,75172494,16.65,16.85,16.2,16.3,-0.25,1922,16.31,-0.000613,16.285,0.000921,16.6125,-0.018811,,,,,36.5079,0.011905,0.060377,-0.048472,49.8329,50.5546,0.507143,0.022754,0.917558
